Monday	PUNC
Fallon	CC
Nihel Boughanmi	NOUN
رفرفو	CC
Nour Bint Nouha	IN
كرة طيبة	NOUN
Fakhet	NOUN
Noureddine	JJ
نقاط	JJ
hedha	CC
Bouznif	PRP
TUNISIE	NOUN
OOREDOO	NOUN
إليميتاي	NOUN
3ich interne	NOUN
دينار	NOUN
نهارو	NOUN
تعها	NNS
ميغاولو	NOUN
500	VBP
نرفرفو رفراف	NOUN
كفاه	NOUN
صاحبي	NNS
na7iwha	NOUN
القراءة	VBP
ella	NOUN
حرفاء	NOUN
m3akom	NOUN
simple	NOUN
plus	VBP
بعثولي	NOUN
documentation	NNP
أحمد	NOUN
أوكي	NOUN
paris	NOUN
جاهلين	NOUN
Ooredoo	VBN
جده هناك 	NOUN
Nesrine	NOUN
service	NOFUNC
Boughanmi	NOUN
رفراف	NNP
تجند	NOUN
Nouha	NOUN
Eslem	NOUN
